ID,Name,Country,Date of birth,Place of birth,Gold,Silver,Bronze,Event
0,Lamusi A,China,6/2/1989,NEIMONGGOL,0,0,0,Men's -60kg
1,A G Kruger,USA,2/18/1979,Sheldon,0,0,0,Men's Hammer Throw
2,Jamale Aarrass,France,11/15/1981,BEZONS,0,0,0,Men's 1500m
3,Abdelhak Aatakni,Morocco,2/9/1988,AIN SEBAA (MAR),0,0,0,Men's Light Welter (64kg)
4,Maria Abakumova,Russia,1/15/1986,STAVROPOL REGION,0,0,0,Women's Javelin Throw
5,Luc Abalo,France,9/6/1984,,0,0,0,Men's Handball
6,Maria Laura Abalo,Argentina,8/17/1981,,0,0,0,Women's Pair
7,Mohamed Abarhoun,Morocco,5/3/1989,,0,0,0,Men's Football
8,Emanuele Abate,Italy,7/8/1985,Genova,0,0,0,Men's 110m Hurdles
9,Ilyas Abbadi,Algeria,10/21/1992,MEDEA (ALG),0,0,0,Men's Welter (69kg)
10,Sohail Abbas,Pakistan,6/9/1975,,0,0,0,Men's Hockey
11,Shakeel Abbasi,Pakistan,1/5/1984,,0,0,0,Men's Hockey
12,Soulmaz Abbasiazad,Iran,1/19/1984,,0,0,0,Women's Single Sculls
13,Simona Abbate,Italy,8/22/1983,FONDI,0,0,0,Women's Water Polo
14,Ahmed Abd Elgaber,Egypt,7/30/1990,,0,0,0,Men's Football
15,Reem Abdalazem,Egypt,11/25/1992,GIZA,0,0,0,Women's Teams
16,Mohamed Fawzi Abdalla,Emirates,2/22/1990,,0,0,0,Men's Football
17,Mohamed Abdel Baki,Egypt,7/18/1987,FAYOUM,0,0,0,Men's 69kg
18,Hesham Abdelaal,Egypt,9/5/1993,ELDAKAHLIA,0,0,0,Men's Fly (52kg)
19,Tarek Abdelazim,Egypt,5/18/1987,ELMENIA,0,0,0,Men's 85kg
20,Shaza Abdelrahman,Egypt,12/23/1992,Cairo,0,0,0,"Women's Duets, Women's Teams"
21,Mouni Abderrahim,Algeria,11/19/1985,,0,0,0,Women's Volleyball
22,Youcef Abdi,Australia,12/7/1977,AZAZGA (ALG),0,0,0,Men's 3000m Steeplechase
23,Abdihakem Abdirahman,USA,1/1/1977,HARGISA (SOM),0,0,0,Men's Marathon
24,Moustapha Abdoulaye Hima,Niger,1/1/1992,,0,0,0,Men's Welter (69kg)
25,Dana Abdul Razak,Iraq,1/3/1986,BAGHDAD (IRQ),0,0,0,Women's 100m
26,Magomed Abdulhamidov,Azerbaijan,11/16/1986,,0,0,0,Men's Bantam (56kg)
27,Muminjon Abdullaev,Uzbekistan,12/24/1989,SAMARKAND REGION (UZB),0,0,0,Men's 120kg Greco-Roman
28,Layes Abdullayeva,Azerbaijan,5/29/1991,Addis Ababa (ETH),0,0,0,Women's 5000m
29,Rasul Abduraim,Kyrgyzstan,12/12/1988,Bishkek (KGZ),0,0,0,Men's -80kg
30,Yusup Abdusalomov,Tajikistan,11/8/1977,MAKHACHKALA,0,0,0,Men's 84kg Freestyle
31,Saeid Morad Abdvali,Iran,11/4/1989,ANDIMESHK (IRI),0,0,0,Men's 66kg Greco-Roman
32,Mojtaba Abedini,Iran,8/11/1984,,0,0,0,Men's Individual Sabre
33,Jennifer Abel,Canada,8/23/1991,Montreal (CAN),0,0,1,"Women's 3m Springboard, Women's Synchronised 3m Springboard"
34,Yaritza Abel Rojas,Cuba,8/26/1983,Santiago de Cuba,0,0,0,Women's -63kg
35,Pablo Abian,Spain,6/12/1985,CALATAYUD,0,0,0,Men's Singles
36,Tomomi Abiko,Japan,3/17/1988,KUSATSU,0,0,0,Women's Pole Vault
37,Camille Abily,France,12/5/1984,,0,0,0,Women's Football
38,Endurance Abinuwa,Nigeria,7/31/1987,Sapele (NGR),0,0,0,Women's 4 x 400m Relay
39,Khalil Mahmoud K Abir Abdelrahman,Egypt,6/13/1992,Alexandria,0,0,0,Women's 75kg
40,Denis Ablyazin,Russia,8/3/1992,Penza,0,0,0,"Men's Team, Men's Qualification"
41,Bukola Abogunloko,Nigeria,8/18/1994,IJERO,0,0,0,Women's 4 x 400m Relay
42,Aminata Aboubakar Yacoub,Congo,6/22/1989,EPENA (CGO),0,0,0,Women's 50m Freestyle
43,Rabah Aboud,Algeria,1/1/1981,TISSEMSILT (ALG),0,0,0,Men's 5000m
44,Gabrielle Aboudi Onguene,Cameroon,2/25/1989,,0,0,0,Women's Football
45,Alaaeldin Abouelkassem,Egypt,11/25/1990,,0,1,0,"Men's Individual Foil, Men's Team Foil"
46,Abouhalima Abouhalima,Egypt,11/19/1993,ALEX,0,0,0,Men's 55kg Greco-Roman
47,Mohamed Aboutrika,Egypt,11/7/1978,,0,0,0,Men's Football
48,Arnaldo Abrantes,Portugal,11/27/1986,ALMADA (POR),0,0,0,Men's 200m
49,Amir Abrashi,Switzerland,3/27/1990,,0,0,0,Men's Football
50,Erika Abril,Colombia,3/29/1978,SAN JOSE DE PARE (COL),0,0,0,Women's Marathon
51,Laura Valentina Abril Restrepo,Colombia,1/28/1990,LA CUMBRE (COL),0,0,0,Women's Cross-country
52,Julien Absalon,France,8/16/1980,Remiremont,0,0,0,Men's Cross-country
53,Ayele Abshero,Ethiopia,12/28/1990,YEBOBA (ETH),0,0,0,Men's Marathon
54,Methkal Abu Drais,Jordan,12/29/1983,ALARDAH (JOR),0,0,0,Men's Marathon
55,Maher Abu Rmilah,Palestine,8/24/1983,Jerusalem (PLE),0,0,0,Men's -73kg
56,Mohammad Abulibdeh,Jordan,10/22/1983,Amman (JOR),0,0,0,Men's -68kg
57,Kanat Abutalipov,Kazakhstan,3/22/1983,Astana (KAZ),0,0,0,Men's Bantam (56kg)
58,Irina Abysova,Russia,11/7/1980,Moscow,0,0,0,Women's Triathlon
59,Raidel Acea,Cuba,10/31/1990,CIENFUEGOS (CUB),0,0,0,Men's 4 x 400m Relay
60,Abraham Acevedo,Paraguay,9/12/1989,ASUNCION,0,0,0,Men's -66kg
61,Loreto Achaerandio,Spain,9/13/1991,Madrid (ESP),0,0,0,Group All-Around
62,Kieron Achara,GreatBritain,7/3/1983,,0,0,0,Men's Basketball
63,Georgios Achilleos,Cyprus,12/24/1980,London,0,0,0,Men's Skeet
64,Janet Achola,Uganda,6/26/1988,LIRA (UGA),0,0,0,Women's 1500m
65,Natalie Achonwa,Canada,11/22/1992,,0,0,0,Women's Basketball
66,Dallal Merwa Achour,Algeria,11/3/1994,,0,0,0,Women's Volleyball
67,Haikel Achouri,Tunisia,8/29/1984,Tunis (TUN),0,0,0,Men's 84kg Greco-Roman
68,Chantal Achterberg,Netherlands,4/16/1985,,0,0,1,Women's Eight
