CO_IES,CO_CATEGAD,CO_ORGACAD,CO_GRUPO,CO_UF_CURSO,CO_REGIAO_CURSO,NU_IDADE,TP_SEXO,ANO_FIM_2G,ANO_IN_GRAD,IN_MATUT,IN_VESPER,IN_NOTURNO,NT_GER,NT_FG,NT_OBJ_FG,NT_DIS_FG,NT_FG_D1,NT_FG_D1_PT,NT_FG_D1_CT,NT_FG_D2,NT_FG_D2_PT,NT_FG_D2_CT,NT_CE,NT_OBJ_CE,NT_DIS_CE,NT_CE_D1,NT_CE_D2,NT_CE_D3
1,10002,10028,4004,MT,5,21,M,2009,2010,1,1,1,67.5,85.5,87.5,82.5,95.0,75.0,100.0,70.0,90.0,65.0,61.5,57.1,86.7,100.0,80.0,80.0
1,10002,10028,4004,MT,5,21,M,2009,2010,1,1,1,59.7,85.7,87.5,83.0,91.0,55.0,100.0,75.0,55.0,80.0,51.0,57.1,16.7,0.0,50.0,0.0
1,10002,10028,4004,MT,5,26,F,2005,2010,1,1,1,68.7,71.8,75.0,67.0,66.0,90.0,60.0,68.0,80.0,65.0,67.7,66.7,73.3,60.0,80.0,80.0
1,10002,10028,4004,MT,5,22,M,2007,2009,1,1,1,52.3,56.0,50.0,65.0,69.0,65.0,70.0,61.0,65.0,60.0,51.0,57.1,16.7,0.0,50.0,0.0
1,10002,10028,4004,MT,5,33,M,2007,2008,1,1,1,59.5,71.0,75.0,65.0,80.0,40.0,90.0,50.0,70.0,45.0,55.6,61.9,20.0,0.0,40.0,20.0
1,10002,10028,4004,MT,5,23,M,2008,2011,1,1,1,49.9,61.6,75.0,41.5,83.0,55.0,90.0,0.0,0.0,0.0,46.0,52.4,10.0,0.0,30.0,0.0
1,10002,10028,4004,MT,5,23,M,2008,2009,1,1,1,70.3,90.3,87.5,94.5,93.0,65.0,100.0,96.0,80.0,100.0,63.6,61.9,73.3,50.0,90.0,80.0
1,10002,10028,4004,MT,5,29,M,2003,2006,1,1,1,21.9,41.8,25.0,67.0,95.0,75.0,100.0,39.0,75.0,30.0,15.2,14.3,20.0,0.0,40.0,20.0
1,10002,10028,4004,MT,5,20,M,2010,2011,1,1,1,63.9,77.2,75.0,80.5,98.0,90.0,100.0,63.0,75.0,60.0,59.5,57.1,73.3,80.0,50.0,90.0
1,10002,10028,4004,MT,5,22,M,2009,2010,1,1,1,56.2,82.4,100.0,56.0,65.0,65.0,65.0,47.0,55.0,45.0,47.5,52.4,20.0,60.0,0.0,0.0
2,10002,10028,4004,DF,5,27,M,2005,2007,1,1,0,63.8,88.4,100.0,71.0,93.0,65.0,100.0,49.0,65.0,45.0,55.6,61.9,20.0,0.0,0.0,60.0
2,10002,10028,4004,DF,5,23,M,2008,2009,1,1,0,66.1,70.4,75.0,63.5,60.0,80.0,55.0,67.0,75.0,65.0,64.7,66.7,53.3,100.0,60.0,0.0
2,10002,10028,4004,DF,5,26,M,2009,2010,1,1,0,42.9,71.5,87.5,47.5,0.0,0.0,0.0,95.0,75.0,100.0,33.4,38.1,6.7,0.0,0.0,20.0
2,10002,10028,4004,DF,5,24,M,2008,2009,1,1,0,67.8,80.2,75.0,88.0,96.0,80.0,100.0,80.0,80.0,80.0,63.6,61.9,73.3,40.0,100.0,80.0
2,10002,10028,4004,DF,5,22,M,2010,2010,1,1,0,79.3,85.1,87.5,81.5,95.0,75.0,100.0,68.0,80.0,65.0,77.4,81.0,56.7,0.0,80.0,90.0
2,10002,10028,4004,DF,5,23,M,2008,2009,1,1,0,63.9,73.3,62.5,89.5,98.0,90.0,100.0,81.0,85.0,80.0,60.7,66.7,26.7,30.0,50.0,0.0
2,10002,10028,4004,DF,5,26,M,2005,2010,1,1,0,66.2,72.0,75.0,67.5,68.0,80.0,65.0,67.0,75.0,65.0,64.2,66.7,50.0,70.0,0.0,80.0
2,10002,10028,4004,DF,5,26,M,2004,2008,1,1,0,61.5,91.4,100.0,78.5,91.0,55.0,100.0,66.0,70.0,65.0,51.5,57.1,20.0,0.0,0.0,60.0
2,10002,10028,4004,DF,5,23,M,2008,2009,1,1,0,60.9,80.2,75.0,88.0,78.0,70.0,80.0,98.0,90.0,100.0,54.5,57.1,40.0,20.0,80.0,20.0
2,10002,10028,4004,DF,5,26,M,2005,2013,1,1,0,70.4,72.1,62.5,86.5,79.0,75.0,80.0,94.0,70.0,100.0,69.8,76.2,33.3,0.0,100.0,0.0
2,10002,10028,4004,DF,5,28,M,2003,2014,1,1,0,56.0,77.0,75.0,80.0,81.0,85.0,80.0,79.0,75.0,80.0,49.0,52.4,30.0,0.0,20.0,70.0
2,10002,10028,4004,DF,5,46,M,1986,2012,1,1,0,65.0,87.3,87.5,87.0,79.0,75.0,80.0,95.0,75.0,100.0,57.5,57.1,60.0,0.0,90.0,90.0
2,10002,10028,4004,DF,5,24,M,2009,2010,1,1,0,61.9,80.9,87.5,71.0,87.0,75.0,90.0,55.0,75.0,50.0,55.5,57.1,46.7,60.0,40.0,40.0
2,10002,10028,4004,DF,5,27,M,2004,2011,1,1,0,61.8,69.7,87.5,43.0,35.0,75.0,25.0,51.0,55.0,50.0,59.2,66.7,16.7,0.0,50.0,0.0
3,10002,10028,4004,SE,2,22,M,2009,2010,0,1,0,70.6,79.3,87.5,67.0,87.0,75.0,90.0,47.0,55.0,45.0,67.7,71.4,46.7,0.0,60.0,80.0
3,10002,10028,4004,SE,2,24,M,2007,2008,0,1,0,34.7,35.9,37.5,33.5,23.0,55.0,15.0,44.0,40.0,45.0,34.3,33.3,40.0,0.0,60.0,60.0
3,10002,10028,4004,SE,2,23,M,2008,2009,0,1,0,42.5,65.6,75.0,51.5,57.0,65.0,55.0,46.0,50.0,45.0,34.8,33.3,43.3,40.0,30.0,60.0
3,10002,10028,4004,SE,2,23,M,2008,2011,0,1,0,40.2,49.9,62.5,31.0,51.0,55.0,50.0,11.0,55.0,0.0,36.9,38.1,30.0,0.0,70.0,20.0
3,10002,10028,4004,SE,2,25,M,2007,2009,0,1,0,46.5,61.4,75.0,41.0,82.0,50.0,90.0,0.0,0.0,0.0,41.5,42.9,33.3,0.0,20.0,80.0
3,10002,10028,4004,SE,2,28,M,2004,2006,0,1,0,52.6,58.9,62.5,53.5,83.0,55.0,90.0,24.0,60.0,15.0,50.5,57.1,13.3,0.0,40.0,0.0
