CO_RS_I1,CO_RS_I2,CO_RS_I3,CO_RS_I4,CO_RS_I5,CO_RS_I6,CO_RS_I7,CO_RS_I8,CO_RS_I9,QE_I01,QE_I02,QE_I03,QE_I04,QE_I05,QE_I06,QE_I07,QE_I08,QE_I09,QE_I10,QE_I11,QE_I12,QE_I13,QE_I14,QE_I15,QE_I17,QE_I18,QE_I19,QE_I20,QE_I21,QE_I22,QE_I23,QE_I24,QE_I25,QE_I26,QE_I27,QE_I28,QE_I29,QE_I30,QE_I31,QE_I32,QE_I33,QE_I34,QE_I35,QE_I36,QE_I37,QE_I38,QE_I39,QE_I40,QE_I41,QE_I42,QE_I43,QE_I44,QE_I45,QE_I46,QE_I47,QE_I48,QE_I49,QE_I50,QE_I51,QE_I52,QE_I53,QE_I54,QE_I55,QE_I56,QE_I57,QE_I58,QE_I59,QE_I60,QE_I61,QE_I62,QE_I63,QE_I64,QE_I65,QE_I66,QE_I67,QE_I68
B,C,B,B,B,D,C,D,D,A,C,A,E,E,B,D,F,C,C,A,A,B,A,A,A,B,A,G,A,B,D,E,E,C,5,5,3,4,6,6,3,2,6,6,5,5,6,4,6,5,6,6,5,6,3,4,3,7,6,4,4,4,4,6,5,6,5,6,4,4,4,2,8,4,4,5
B,C,C,E,A,C,E,D,C,A,A,A,C,D,B,D,E,D,A,A,A,B,A,A,A,A,B,C,A,C,E,A,A,F,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,3,1,6,6,6
C,D,C,A,A,C,D,D,D,A,A,A,C,E,B,C,D,B,A,A,A,D,A,A,A,A,B,C,A,B,D,E,A,A,5,5,5,5,5,6,5,6,6,5,5,5,5,5,6,6,6,6,6,5,5,5,5,5,6,4,4,5,5,6,5,5,5,5,6,5,5,5,8,5,5,5
C,C,B,C,B,C,A,C,E,A,C,A,B,D,B,E,C,E,C,A,E,B,A,A,A,A,B,C,B,C,C,A,C,F,4,5,4,5,4,4,5,3,4,4,5,4,6,4,5,6,6,6,6,6,5,5,5,6,7,5,5,4,4,4,5,6,6,5,6,6,6,5,1,5,6,6
D,E,D,B,B,D,B,B,E,B,A,A,B,A,C,C,C,E,E,A,A,A,A,A,A,A,C,E,A,B,B,E,A,F,5,5,5,5,5,4,6,4,5,5,5,5,6,2,5,6,5,6,6,4,5,4,4,8,8,4,6,3,5,5,5,5,5,5,5,5,5,5,3,4,3,5
C,D,B,B,B,B,B,D,E,A,C,A,A,C,D,B,B,C,A,A,A,C,A,A,A,A,D,C,B,B,D,C,E,A,5,6,4,5,4,6,5,6,5,5,6,5,4,3,6,6,5,6,6,4,5,4,5,5,5,4,5,4,5,6,5,6,5,5,5,5,5,4,5,5,4,6
B,C,C,A,B,C,A,D,C,A,A,A,E,F,B,D,F,C,D,A,A,C,B,A,B,A,B,C,A,B,C,E,E,F,4,4,4,4,4,4,4,4,4,4,5,4,4,3,4,5,5,6,5,4,4,5,4,5,5,5,5,4,4,5,4,5,4,5,5,5,5,4,4,4,5,4
A,A,A,A,A,A,A,A,A,A,C,A,C,C,B,D,A,C,A,A,A,A,A,A,A,A,A,B,A,A,B,E,A,F,4,3,2,2,3,3,2,3,3,3,3,2,2,1,2,6,4,3,3,3,1,1,3,3,3,8,8,3,2,3,5,5,8,2,2,1,2,4,8,2,1,2
C,C,C,B,C,C,E,D,D,A,A,A,A,C,B,B,B,B,A,A,C,B,A,A,A,A,A,G,A,E,E,C,E,C,5,5,5,5,3,5,3,5,2,6,5,5,5,4,6,6,6,6,6,4,5,5,5,4,6,6,6,4,6,6,6,6,5,5,5,5,3,3,2,3,4,4
B,C,A,B,B,C,D,D,C,A,A,A,E,E,B,D,D,C,E,A,A,C,A,A,B,A,A,C,A,B,B,E,G,C,4,5,3,3,2,6,5,4,4,5,4,5,5,4,3,2,6,6,6,5,4,3,1,7,2,5,4,1,1,3,5,5,1,2,4,4,3,4,3,7,4,2
C,C,D,B,B,C,B,D,C,A,C,A,D,F,B,D,F,B,A,A,A,A,A,A,B,A,B,C,A,B,E,A,A,A,2,2,1,2,2,6,4,4,1,6,1,2,3,1,1,6,5,5,4,8,2,2,2,7,6,4,4,5,1,2,2,3,2,2,3,2,2,3,1,2,3,1
C,D,C,B,B,C,A,D,C,A,A,A,E,E,B,C,F,B,A,A,A,B,B,A,B,A,B,A,A,B,D,A,E,F,4,4,2,3,3,5,4,3,3,4,4,3,4,4,4,4,2,2,2,2,3,3,3,7,6,3,6,4,1,6,5,4,5,6,1,2,2,2,2,3,5,4
C,C,C,A,B,B,E,C,C,A,C,A,E,E,D,A,B,B,A,A,A,A,A,A,E,A,B,A,A,B,C,A,A,F,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,6,5,6,6,6,5,6,6,6,6,6,6,3
A,D,C,A,B,C,A,D,D,A,A,A,D,E,B,D,F,B,A,A,A,B,B,A,A,A,B,C,A,E,C,A,H,C,6,4,5,6,3,6,6,6,6,6,6,6,6,8,6,6,6,6,6,8,6,3,3,7,6,6,6,6,5,6,6,6,6,6,2,2,2,6,1,6,6,4
C,D,C,B,B,C,D,D,B,A,A,A,F,F,B,D,F,C,A,A,A,B,A,A,B,A,A,H,A,D,B,A,A,F,6,6,6,5,5,5,6,6,5,5,3,4,3,4,3,5,5,5,5,4,5,4,4,7,5,3,5,4,5,4,5,5,5,5,4,4,4,3,2,4,3,1
C,D,C,D,B,C,D,D,C,A,A,A,C,D,B,E,F,E,E,A,A,F,B,A,B,A,B,G,B,B,B,A,E,F,5,4,4,4,5,5,3,4,5,5,5,4,4,5,5,6,6,5,5,6,5,5,4,5,4,5,5,4,5,3,3,4,5,5,5,4,5,5,5,5,4,4
A,A,C,D,B,A,E,E,D,A,A,A,F,D,B,D,F,C,A,A,A,D,A,A,B,A,B,C,A,C,C,A,E,F,6,6,5,5,6,6,5,6,6,5,5,5,5,6,6,6,6,6,6,5,6,5,5,7,6,6,6,6,5,5,6,6,5,6,5,5,4,3,6,5,5,3
A,A,A,A,A,A,D,E,B,A,C,A,E,E,B,E,D,C,C,A,A,A,A,A,B,A,B,K,A,A,E,A,H,A,1,1,1,1,2,5,5,4,4,5,1,2,3,2,1,6,4,4,4,4,1,1,1,7,4,6,6,4,1,6,6,4,4,6,1,1,1,1,4,6,2,1
