% Monthly totals of international airline passengers (in thousands) for
% 1949-1960.

@relation airline_passengers

@attribute passenger_numbers numeric
@attribute Date date 'yyyy-MM-dd'
@attribute Month numeric

@data
112,1949-01-01,01
118,1949-02-01,02
132,1949-03-01,03
129,1949-04-01,04
121,1949-05-01,05
135,1949-06-01,06
148,1949-07-01,07
148,1949-08-01,08
136,1949-09-01,09
119,1949-10-01,10
104,1949-11-01,11
118,1949-12-01,12
115,1950-01-01,01
126,1950-02-01,02
141,1950-03-01,03
135,1950-04-01,04
125,1950-05-01,05
149,1950-06-01,06
170,1950-07-01,07
170,1950-08-01,08
158,1950-09-01,09
133,1950-10-01,10
114,1950-11-01,11
140,1950-12-01,12
145,1951-01-01,01
150,1951-02-01,02
178,1951-03-01,03
163,1951-04-01,04
172,1951-05-01,05
178,1951-06-01,06
199,1951-07-01,07
199,1951-08-01,08
184,1951-09-01,09
162,1951-10-01,10
146,1951-11-01,11
166,1951-12-01,12
171,1952-01-01,01
180,1952-02-01,02
193,1952-03-01,03
181,1952-04-01,04
183,1952-05-01,05
218,1952-06-01,06
230,1952-07-01,07
242,1952-08-01,08
209,1952-09-01,09
191,1952-10-01,10
172,1952-11-01,11
194,1952-12-01,12
196,1953-01-01,01
196,1953-02-01,02
236,1953-03-01,03
235,1953-04-01,04
229,1953-05-01,05
243,1953-06-01,06
264,1953-07-01,07
272,1953-08-01,08
237,1953-09-01,09
211,1953-10-01,10
180,1953-11-01,11
201,1953-12-01,12
204,1954-01-01,01
188,1954-02-01,02
235,1954-03-01,03
227,1954-04-01,04
234,1954-05-01,05
264,1954-06-01,06
302,1954-07-01,07
293,1954-08-01,08
259,1954-09-01,09
229,1954-10-01,10
203,1954-11-01,11
229,1954-12-01,12
242,1955-01-01,01
233,1955-02-01,02
267,1955-03-01,03
269,1955-04-01,04
270,1955-05-01,05
315,1955-06-01,06
364,1955-07-01,07
347,1955-08-01,08
312,1955-09-01,09
274,1955-10-01,10
237,1955-11-01,11
278,1955-12-01,12
284,1956-01-01,01
277,1956-02-01,02
317,1956-03-01,03
313,1956-04-01,04
318,1956-05-01,05
374,1956-06-01,06
413,1956-07-01,07
405,1956-08-01,08
355,1956-09-01,09
306,1956-10-01,10
271,1956-11-01,11
306,1956-12-01,12
315,1957-01-01,01
301,1957-02-01,02
356,1957-03-01,03
348,1957-04-01,04
355,1957-05-01,05
422,1957-06-01,06
465,1957-07-01,07
467,1957-08-01,08
404,1957-09-01,09
347,1957-10-01,10
305,1957-11-01,11
336,1957-12-01,12
340,1958-01-01,01
318,1958-02-01,02
362,1958-03-01,03
348,1958-04-01,04
363,1958-05-01,05
435,1958-06-01,06
491,1958-07-01,07
505,1958-08-01,08
404,1958-09-01,09
359,1958-10-01,10
310,1958-11-01,11
337,1958-12-01,12
360,1959-01-01,01
342,1959-02-01,02
406,1959-03-01,03
396,1959-04-01,04
420,1959-05-01,05
472,1959-06-01,06
548,1959-07-01,07
559,1959-08-01,08
463,1959-09-01,09
407,1959-10-01,10
362,1959-11-01,11
405,1959-12-01,12
417,1960-01-01,01
391,1960-02-01,02
419,1960-03-01,03
461,1960-04-01,04
472,1960-05-01,05
535,1960-06-01,06
622,1960-07-01,07
606,1960-08-01,08
508,1960-09-01,09
461,1960-10-01,10
390,1960-11-01,11
432,1960-12-01,12
