%% Monthly totals of international airline passengers (in thousands) for
%% 1949-1960.

@relation airline_passengers
@attribute passenger_numbers numeric
@attribute Date date 'yyyy-MM-dd'
@attribute Month numeric
@attribute Year numeric

@data
112,1949-01-01,01,1949
118,1949-02-01,02,1949
132,1949-03-01,03,1949
129,1949-04-01,04,1949
121,1949-05-01,05,1949
135,1949-06-01,06,1949
148,1949-07-01,07,1949
148,1949-08-01,08,1949
136,1949-09-01,09,1949
119,1949-10-01,10,1949
104,1949-11-01,11,1949
118,1949-12-01,12,1949
115,1950-01-01,01,1950
126,1950-02-01,02,1950
141,1950-03-01,03,1950
135,1950-04-01,04,1950
125,1950-05-01,05,1950
149,1950-06-01,06,1950
170,1950-07-01,07,1950
170,1950-08-01,08,1950
158,1950-09-01,09,1950
133,1950-10-01,10,1950
114,1950-11-01,11,1950
140,1950-12-01,12,1950
145,1951-01-01,01,1951
150,1951-02-01,02,1951
178,1951-03-01,03,1951
163,1951-04-01,04,1951
172,1951-05-01,05,1951
178,1951-06-01,06,1951
199,1951-07-01,07,1951
199,1951-08-01,08,1951
184,1951-09-01,09,1951
162,1951-10-01,10,1951
146,1951-11-01,11,1951
166,1951-12-01,12,1951
171,1952-01-01,01,1952
180,1952-02-01,02,1952
193,1952-03-01,03,1952
181,1952-04-01,04,1952
183,1952-05-01,05,1952
218,1952-06-01,06,1952
230,1952-07-01,07,1952
242,1952-08-01,08,1952
209,1952-09-01,09,1952
191,1952-10-01,10,1952
172,1952-11-01,11,1952
194,1952-12-01,12,1952
196,1953-01-01,01,1953
196,1953-02-01,02,1953
236,1953-03-01,03,1953
235,1953-04-01,04,1953
229,1953-05-01,05,1953
243,1953-06-01,06,1953
264,1953-07-01,07,1953
272,1953-08-01,08,1953
237,1953-09-01,09,1953
211,1953-10-01,10,1953
180,1953-11-01,11,1953
201,1953-12-01,12,1953
204,1954-01-01,01,1954
188,1954-02-01,02,1954
235,1954-03-01,03,1954
227,1954-04-01,04,1954
234,1954-05-01,05,1954
264,1954-06-01,06,1954
302,1954-07-01,07,1954
293,1954-08-01,08,1954
259,1954-09-01,09,1954
229,1954-10-01,10,1954
203,1954-11-01,11,1954
229,1954-12-01,12,1954
242,1955-01-01,01,1955
233,1955-02-01,02,1955
267,1955-03-01,03,1955
269,1955-04-01,04,1955
270,1955-05-01,05,1955
315,1955-06-01,06,1955
364,1955-07-01,07,1955
347,1955-08-01,08,1955
312,1955-09-01,09,1955
274,1955-10-01,10,1955
237,1955-11-01,11,1955
278,1955-12-01,12,1955
284,1956-01-01,01,1956
277,1956-02-01,02,1956
317,1956-03-01,03,1956
313,1956-04-01,04,1956
318,1956-05-01,05,1956
374,1956-06-01,06,1956
413,1956-07-01,07,1956
405,1956-08-01,08,1956
355,1956-09-01,09,1956
306,1956-10-01,10,1956
271,1956-11-01,11,1956
306,1956-12-01,12,1956
315,1957-01-01,01,1957
301,1957-02-01,02,1957
356,1957-03-01,03,1957
348,1957-04-01,04,1957
355,1957-05-01,05,1957
422,1957-06-01,06,1957
465,1957-07-01,07,1957
467,1957-08-01,08,1957
404,1957-09-01,09,1957
347,1957-10-01,10,1957
305,1957-11-01,11,1957
336,1957-12-01,12,1957
340,1958-01-01,01,1958
318,1958-02-01,02,1958
362,1958-03-01,03,1958
348,1958-04-01,04,1958
363,1958-05-01,05,1958
435,1958-06-01,06,1958
491,1958-07-01,07,1958
505,1958-08-01,08,1958
404,1958-09-01,09,1958
359,1958-10-01,10,1958
310,1958-11-01,11,1958
337,1958-12-01,12,1958
360,1959-01-01,01,1959
342,1959-02-01,02,1959
406,1959-03-01,03,1959
396,1959-04-01,04,1959
420,1959-05-01,05,1959
472,1959-06-01,06,1959
548,1959-07-01,07,1959
559,1959-08-01,08,1959
463,1959-09-01,09,1959
407,1959-10-01,10,1959
362,1959-11-01,11,1959
405,1959-12-01,12,1959
417,1960-01-01,01,1960
391,1960-02-01,02,1960
419,1960-03-01,03,1960
461,1960-04-01,04,1960
472,1960-05-01,05,1960
535,1960-06-01,06,1960
622,1960-07-01,07,1960
606,1960-08-01,08,1960
508,1960-09-01,09,1960
461,1960-10-01,10,1960
390,1960-11-01,11,1960
432,1960-12-01,12,1960
