data,time1,time2,r1c,r1f,r2c,r2f,rk1,rk2,result
10/08/2002,"Vasco","Figueirense",0.2,0,0,0,309,325,V
10/08/2002,"SãoPaulo","Paysandu",0.2,0,0,0,431,180,V
10/08/2002,"Paraná","SãoCaetano",0.2,0,0,0,309,287,V
10/08/2002,"Santos","BotafogoRJ",0.2,0,0,0,415,25,V
10/08/2002,"Goiás","Portuguesa",0.2,0,0,0,344,27,V
11/08/2002,"Fluminense","Cruzeiro",0.2,0,0,0,340,375,V
11/08/2002,"Palmeiras","Grêmio",0.0666667,0,0,0.0666667,278,265,E
11/08/2002,"AtléticoMG","Corinthians",0,0,0,0.2,267,358,D
11/08/2002,"Internacional","Flamengo",0,0,0,0.2,371,321,D
11/08/2002,"Guarani","AtléticoPR",0.2,0,0,0,143,345,V
11/08/2002,"Coritiba","Vitória",0.2,0,0,0,220,141,V
11/08/2002,"Bahia","Gama",0.2,0,0,0,76,25,V
11/08/2002,"Juventude","PontePreta",0.2,0,0,0,308,245,V
14/08/2002,"AtléticoPR","Bahia",0.2,0,0.2,0,345,76,V
14/08/2002,"BotafogoRJ","AtléticoMG",0.0666667,0,0,0.0666667,25,267,E
14/08/2002,"Corinthians","Internacional",0.2,0.2,0,0,358,371,V
14/08/2002,"Cruzeiro","Palmeiras",0.0666667,0,0.0666667,0.0666667,375,278,E
14/08/2002,"Figueirense","Guarani",0.0666667,0,0.2,0.0666667,325,143,E
14/08/2002,"Grêmio","Vasco",0.2,0.0666667,0.2,0,265,309,V
14/08/2002,"PontePreta","Coritiba",0.2,0,0.2,0,245,220,V
14/08/2002,"SãoCaetano","Fluminense",0.2,0,0.2,0,287,340,V
14/08/2002,"Vitória","Goiás",0.2,0,0.2,0,141,344,V
15/08/2002,"Flamengo","Juventude",0.0666667,0.2,0.2,0.0666667,321,308,E
15/08/2002,"Gama","SãoPaulo",0,0,0.2,0.2,25,431,D
15/08/2002,"Portuguesa","Paraná",0.2,0,0.2,0,27,309,V
17/08/2002,"AtléticoPR","Vasco",0.4,0,0.2,0,345,309,V
17/08/2002,"Fluminense","Grêmio",0.4,0,0.2,0.0666667,340,265,V
17/08/2002,"Internacional","PontePreta",0.2,0,0.2,0,371,245,V
18/08/2002,"Bahia","Coritiba",0.2,0,0.2,0.2,76,220,D
18/08/2002,"Cruzeiro","BotafogoRJ",0.133333,0,0.0666667,0.0666667,375,25,E
18/08/2002,"Flamengo","Goiás",0.133333,0.2,0.2,0.0666667,321,344,E
18/08/2002,"Gama","Vitória",0.2,0,0.2,0,25,141,V
18/08/2002,"Guarani","AtléticoMG",0.2,0.0666667,0,0.266667,143,267,D
18/08/2002,"Juventude","Santos",0.4,0.0666667,0.2,0,308,415,V
18/08/2002,"Paraná","SãoPaulo",0.2,0,0.2,0.4,309,431,D
18/08/2002,"Portuguesa","Figueirense",0.266667,0,0.0666667,0.0666667,27,325,E
18/08/2002,"SãoCaetano","Corinthians",0.4,0,0.2,0.2,287,358,V
21/08/2002,"AtléticoMG","Fluminense",0.0666667,0.266667,0.4,0.0666667,267,340,E
21/08/2002,"BotafogoRJ","Internacional",0.133333,0.0666667,0.2,0.0666667,25,371,E
21/08/2002,"Coritiba","Flamengo",0.4,0.2,0.133333,0.2,220,321,V
21/08/2002,"Goiás","Bahia",0.266667,0.0666667,0.2,0.0666667,344,76,E
21/08/2002,"Paysandu","Portuguesa",0,0,0.266667,0.2,180,27,D
21/08/2002,"Santos","Figueirense",0.4,0,0.0666667,0.0666667,415,325,V
21/08/2002,"SãoPaulo","Juventude",0.2,0.4,0.4,0.266667,431,308,D
21/08/2002,"Vitória","AtléticoPR",0.266667,0,0.4,0.0666667,141,345,E
22/08/2002,"Grêmio","Guarani",0.2,0.0666667,0.2,0.266667,265,143,D
22/08/2002,"Palmeiras","SãoCaetano",0.266667,0.0666667,0.4,0,278,287,V
22/08/2002,"PontePreta","Cruzeiro",0.4,0,0.133333,0,245,375,V
22/08/2002,"Vasco","Gama",0.2,0,0.2,0.2,309,25,D
24/08/2002,"Figueirense","BotafogoRJ",0.0666667,0.0666667,0.133333,0.266667,325,25,D
24/08/2002,"Flamengo","Paysandu",0.133333,0.2,0,0.2,321,180,D
24/08/2002,"Internacional","SãoPaulo",0.266667,0.0666667,0.2,0.466667,371,431,E
25/08/2002,"Coritiba","Corinthians",0.4,0.2,0.2,0.4,220,358,D
25/08/2002,"Cruzeiro","Bahia",0.333333,0,0.2,0.0666667,375,76,V
25/08/2002,"Fluminense","Santos",0.466667,0.0666667,0.4,0.0666667,340,415,E
25/08/2002,"Goiás","Vasco",0.266667,0.0666667,0.2,0.2,344,309,D
25/08/2002,"Palmeiras","AtléticoMG",0.266667,0.0666667,0.0666667,0.466667,278,267,D
25/08/2002,"PontePreta","Grêmio",0.466667,0,0.2,0.133333,245,265,E
25/08/2002,"Portuguesa","Gama",0.466667,0.2,0.2,0.2,27,25,V
25/08/2002,"Vitória","Juventude",0.466667,0,0.4,0.266667,141,308,V
28/08/2002,"AtléticoPR","Palmeiras",0.6,0.0666667,0.266667,0.0666667,345,278,V
28/08/2002,"Bahia","Figueirense",0.2,0.0666667,0.0666667,0.266667,76,325,D
28/08/2002,"Corinthians","Cruzeiro",0.266667,0.4,0.333333,0.0666667,358,375,E
28/08/2002,"Gama","Flamengo",0.4,0.2,0.133333,0.2,25,321,V
28/08/2002,"Guarani","Internacional",0.266667,0.266667,0.266667,0.133333,143,371,E
28/08/2002,"Juventude","Fluminense",0.6,0.266667,0.466667,0.0666667,308,340,V
