data,time1,time2,result
10/08/2002,"Vasco","Figueirense",V
10/08/2002,"SãoPaulo","Paysandu",V
10/08/2002,"Paraná","SãoCaetano",V
10/08/2002,"Santos","BotafogoRJ",V
10/08/2002,"Goiás","Portuguesa",V
11/08/2002,"Fluminense","Cruzeiro",V
11/08/2002,"Palmeiras","Grêmio",E
11/08/2002,"AtléticoMG","Corinthians",D
11/08/2002,"Internacional","Flamengo",D
11/08/2002,"Guarani","AtléticoPR",V
11/08/2002,"Coritiba","Vitória",V
11/08/2002,"Bahia","Gama",V
11/08/2002,"Juventude","PontePreta",V
14/08/2002,"AtléticoPR","Bahia",V
14/08/2002,"BotafogoRJ","AtléticoMG",E
14/08/2002,"Corinthians","Internacional",V
14/08/2002,"Cruzeiro","Palmeiras",E
14/08/2002,"Figueirense","Guarani",E
14/08/2002,"Grêmio","Vasco",V
14/08/2002,"PontePreta","Coritiba",V
14/08/2002,"SãoCaetano","Fluminense",V
14/08/2002,"Vitória","Goiás",V
15/08/2002,"Flamengo","Juventude",E
15/08/2002,"Gama","SãoPaulo",D
15/08/2002,"Portuguesa","Paraná",V
17/08/2002,"AtléticoPR","Vasco",V
17/08/2002,"Fluminense","Grêmio",V
17/08/2002,"Internacional","PontePreta",V
18/08/2002,"Bahia","Coritiba",D
18/08/2002,"Cruzeiro","BotafogoRJ",E
18/08/2002,"Flamengo","Goiás",E
18/08/2002,"Gama","Vitória",V
18/08/2002,"Guarani","AtléticoMG",D
18/08/2002,"Juventude","Santos",V
18/08/2002,"Paraná","SãoPaulo",D
18/08/2002,"Portuguesa","Figueirense",E
18/08/2002,"SãoCaetano","Corinthians",V
21/08/2002,"AtléticoMG","Fluminense",E
21/08/2002,"BotafogoRJ","Internacional",E
21/08/2002,"Coritiba","Flamengo",V
21/08/2002,"Goiás","Bahia",E
21/08/2002,"Paysandu","Portuguesa",D
21/08/2002,"Santos","Figueirense",V
21/08/2002,"SãoPaulo","Juventude",D
21/08/2002,"Vitória","AtléticoPR",E
22/08/2002,"Grêmio","Guarani",D
22/08/2002,"Palmeiras","SãoCaetano",V
22/08/2002,"PontePreta","Cruzeiro",V
22/08/2002,"Vasco","Gama",D
24/08/2002,"Figueirense","BotafogoRJ",D
