time1,time2,result
"Vasco","Figueirense",V
"SãoPaulo","Paysandu",V
"Paraná","SãoCaetano",V
"Santos","BotafogoRJ",V
"Goiás","Portuguesa",V
"Fluminense","Cruzeiro",V
"Palmeiras","Grêmio",E
"AtléticoMG","Corinthians",D
"Internacional","Flamengo",D
"Guarani","AtléticoPR",V
"Coritiba","Vitória",V
"Bahia","Gama",V
"Juventude","PontePreta",V
"AtléticoPR","Bahia",V
"BotafogoRJ","AtléticoMG",E
"Corinthians","Internacional",V
"Cruzeiro","Palmeiras",E
"Figueirense","Guarani",E
"Grêmio","Vasco",V
"PontePreta","Coritiba",V
"SãoCaetano","Fluminense",V
"Vitória","Goiás",V
"Flamengo","Juventude",E
"Gama","SãoPaulo",D
"Portuguesa","Paraná",V
"AtléticoPR","Vasco",V
"Fluminense","Grêmio",V
"Internacional","PontePreta",V
"Bahia","Coritiba",D
"Cruzeiro","BotafogoRJ",E
"Flamengo","Goiás",E
"Gama","Vitória",V
"Guarani","AtléticoMG",D
"Juventude","Santos",V
"Paraná","SãoPaulo",D
"Portuguesa","Figueirense",E
"SãoCaetano","Corinthians",V
"AtléticoMG","Fluminense",E
"BotafogoRJ","Internacional",E
"Coritiba","Flamengo",V
"Goiás","Bahia",E
"Paysandu","Portuguesa",D
"Santos","Figueirense",V
"SãoPaulo","Juventude",D
"Vitória","AtléticoPR",E
"Grêmio","Guarani",D
"Palmeiras","SãoCaetano",V
"PontePreta","Cruzeiro",V
"Vasco","Gama",D
"Figueirense","BotafogoRJ",D
"Flamengo","Paysandu",D
"Internacional","SãoPaulo",E
"Coritiba","Corinthians",D
"Cruzeiro","Bahia",V
"Fluminense","Santos",E
"Goiás","Vasco",D
"Palmeiras","AtléticoMG",D
"PontePreta","Grêmio",E
"Portuguesa","Gama",V
"Vitória","Juventude",V
"AtléticoPR","Palmeiras",V
"Bahia","Figueirense",D
"Corinthians","Cruzeiro",E
"Gama","Flamengo",V
"Guarani","Internacional",E
"Juventude","Fluminense",V
"Santos","Paraná",V
"AtléticoMG","Vitória",V
"Grêmio","Portuguesa",E
"SãoPaulo","Goiás",V
"BotafogoRJ","Gama",V
"Corinthians","AtléticoPR",D
"Coritiba","Fluminense",V
"Internacional","Santos",V
"AtléticoMG","Portuguesa",E
"Flamengo","Cruzeiro",E
"Goiás","Guarani",D
"Juventude","Vasco",V
"Paraná","Palmeiras",V
"PontePreta","SãoCaetano",D
"SãoPaulo","Grêmio",V
"Vitória","Paysandu",V
"AtléticoPR","BotafogoRJ",V
"Bahia","Paraná",V
"Cruzeiro","SãoPaulo",V
"Flamengo","Fluminense",V
"Gama","PontePreta",E
"Palmeiras","Coritiba",E
"Paysandu","Corinthians",D
"SãoCaetano","Guarani",V
"Vasco","AtléticoMG",D
"Portuguesa","Internacional",D
"Santos","Vitória",V
"AtléticoMG","PontePreta",V
"Goiás","BotafogoRJ",E
"Palmeiras","Gama",E
"SãoCaetano","SãoPaulo",V
"Vasco","Coritiba",V
"Fluminense","Figueirense",V
"Grêmio","Corinthians",V
"Guarani","Paysandu",V
"Juventude","Bahia",V
"Paraná","Flamengo",V
"Santos","AtléticoPR",E
"Vitória","Internacional",E
"Bahia","Grêmio",E
"Coritiba","Santos",V
"Figueirense","Vitória",D
"Flamengo","AtléticoPR",V
"Internacional","Palmeiras",V
"Paysandu","Vasco",V
"PontePreta","Paraná",V
"Portuguesa","SãoCaetano",V
"BotafogoRJ","Juventude",D
"Corinthians","Goiás",V
"Cruzeiro","Guarani",D
"Gama","Fluminense",D
"Internacional","Figueirense",D
"Palmeiras","Bahia",D
"Paraná","AtléticoPR",E
"Santos","Grêmio",V
"BotafogoRJ","Vasco",E
"Coritiba","Goiás",V
