time1,time2,rk1,rk2,result
"Vasco","Figueirense",309,325,V
"SãoPaulo","Paysandu",431,180,V
"Paraná","SãoCaetano",309,287,V
"Santos","BotafogoRJ",415,25,V
"Goiás","Portuguesa",344,27,V
"Fluminense","Cruzeiro",340,375,V
"Palmeiras","Grêmio",278,265,E
"AtléticoMG","Corinthians",267,358,D
"Internacional","Flamengo",371,321,D
"Guarani","AtléticoPR",143,345,V
"Coritiba","Vitória",220,141,V
"Bahia","Gama",76,25,V
"Juventude","PontePreta",308,245,V
"AtléticoPR","Bahia",345,76,V
"BotafogoRJ","AtléticoMG",25,267,E
"Corinthians","Internacional",358,371,V
"Cruzeiro","Palmeiras",375,278,E
"Figueirense","Guarani",325,143,E
"Grêmio","Vasco",265,309,V
"PontePreta","Coritiba",245,220,V
"SãoCaetano","Fluminense",287,340,V
"Vitória","Goiás",141,344,V
"Flamengo","Juventude",321,308,E
"Gama","SãoPaulo",25,431,D
"Portuguesa","Paraná",27,309,V
"AtléticoPR","Vasco",345,309,V
"Fluminense","Grêmio",340,265,V
"Internacional","PontePreta",371,245,V
"Bahia","Coritiba",76,220,D
"Cruzeiro","BotafogoRJ",375,25,E
"Flamengo","Goiás",321,344,E
"Gama","Vitória",25,141,V
"Guarani","AtléticoMG",143,267,D
"Juventude","Santos",308,415,V
"Paraná","SãoPaulo",309,431,D
"Portuguesa","Figueirense",27,325,E
"SãoCaetano","Corinthians",287,358,V
"AtléticoMG","Fluminense",267,340,E
"BotafogoRJ","Internacional",25,371,E
"Coritiba","Flamengo",220,321,V
"Goiás","Bahia",344,76,E
"Paysandu","Portuguesa",180,27,D
"Santos","Figueirense",415,325,V
"SãoPaulo","Juventude",431,308,D
"Vitória","AtléticoPR",141,345,E
"Grêmio","Guarani",265,143,D
"Palmeiras","SãoCaetano",278,287,V
"PontePreta","Cruzeiro",245,375,V
"Vasco","Gama",309,25,D
"Figueirense","BotafogoRJ",325,25,D
"Flamengo","Paysandu",321,180,D
"Internacional","SãoPaulo",371,431,E
"Coritiba","Corinthians",220,358,D
"Cruzeiro","Bahia",375,76,V
"Fluminense","Santos",340,415,E
"Goiás","Vasco",344,309,D
"Palmeiras","AtléticoMG",278,267,D
"PontePreta","Grêmio",245,265,E
"Portuguesa","Gama",27,25,V
"Vitória","Juventude",141,308,V
"AtléticoPR","Palmeiras",345,278,V
"Bahia","Figueirense",76,325,D
"Corinthians","Cruzeiro",358,375,E
"Gama","Flamengo",25,321,V
"Guarani","Internacional",143,371,E
"Juventude","Fluminense",308,340,V
"Santos","Paraná",415,309,V
"AtléticoMG","Vitória",267,141,V
"Grêmio","Portuguesa",265,27,E
"SãoPaulo","Goiás",431,344,V
"BotafogoRJ","Gama",25,25,V
"Corinthians","AtléticoPR",358,345,D
"Coritiba","Fluminense",220,340,V
"Internacional","Santos",371,415,V
"AtléticoMG","Portuguesa",267,27,E
"Flamengo","Cruzeiro",321,375,E
"Goiás","Guarani",344,143,D
"Juventude","Vasco",308,309,V
"Paraná","Palmeiras",309,278,V
"PontePreta","SãoCaetano",245,287,D
"SãoPaulo","Grêmio",431,265,V
"Vitória","Paysandu",141,180,V
"AtléticoPR","BotafogoRJ",345,25,V
"Bahia","Paraná",76,309,V
"Cruzeiro","SãoPaulo",375,431,V
"Flamengo","Fluminense",321,340,V
"Gama","PontePreta",25,245,E
"Palmeiras","Coritiba",278,220,E
"Paysandu","Corinthians",180,358,D
"SãoCaetano","Guarani",287,143,V
"Vasco","AtléticoMG",309,267,D
"Portuguesa","Internacional",27,371,D
"Santos","Vitória",415,141,V
"AtléticoMG","PontePreta",267,245,V
"Goiás","BotafogoRJ",344,25,E
"Palmeiras","Gama",278,25,E
"SãoCaetano","SãoPaulo",287,431,V
"Vasco","Coritiba",309,220,V
"Fluminense","Figueirense",340,325,V
"Grêmio","Corinthians",265,358,V
"Guarani","Paysandu",143,180,V
"Juventude","Bahia",308,76,V
"Paraná","Flamengo",309,321,V
"Santos","AtléticoPR",415,345,E
"Vitória","Internacional",141,371,E
"Bahia","Grêmio",76,265,E
"Coritiba","Santos",220,415,V
"Figueirense","Vitória",325,141,D
"Flamengo","AtléticoPR",321,345,V
"Internacional","Palmeiras",371,278,V
"Paysandu","Vasco",180,309,V
"PontePreta","Paraná",245,309,V
"Portuguesa","SãoCaetano",27,287,V
"BotafogoRJ","Juventude",25,308,D
"Corinthians","Goiás",358,344,V
"Cruzeiro","Guarani",375,143,D
"Gama","Fluminense",25,340,D
"Internacional","Figueirense",371,325,D
"Palmeiras","Bahia",278,76,D
"Paraná","AtléticoPR",309,345,E
"Santos","Grêmio",415,265,V
"BotafogoRJ","Vasco",25,309,E
"Coritiba","Goiás",220,344,V
"Cruzeiro","Paysandu",375,180,V
"Guarani","Corinthians",143,358,E
"Juventude","AtléticoMG",308,267,V
"SãoCaetano","Gama",287,25,V
"SãoPaulo","Fluminense",431,340,V
"Vitória","Portuguesa",141,27,V
"AtléticoPR","Gama",345,25,D
"Bahia","SãoPaulo",76,431,V
"Figueirense","Cruzeiro",325,375,V
"Goiás","SãoCaetano",344,287,V
"Paysandu","Coritiba",180,220,E
"PontePreta","Palmeiras",245,278,V
"Portuguesa","BotafogoRJ",27,25,V
"Vasco","Santos",309,415,D
"AtléticoMG","Paraná",267,309,V
"Corinthians","Vitória",358,141,V
"Grêmio","Juventude",265,308,V
"BotafogoRJ","Coritiba",25,220,D
"Figueirense","Palmeiras",325,278,V
"Portuguesa","Cruzeiro",27,375,D
"Santos","Goiás",415,344,E
"AtléticoMG","Flamengo",267,321,D
"AtléticoPR","SãoPaulo",345,431,E
"Corinthians","Paraná",358,309,V
"Grêmio","Vitória",265,141,V
"Guarani","Juventude",143,308,E
"Paysandu","PontePreta",180,245,V
"SãoCaetano","Bahia",287,76,V
"Vasco","Internacional",309,371,E
"Cruzeiro","Vasco",375,309,V
"Fluminense","AtléticoPR",340,345,D
"Internacional","Bahia",371,76,V
"Juventude","Corinthians",308,358,D
"Paraná","Guarani",309,143,D
"PontePreta","Figueirense",245,325,V
"SãoPaulo","AtléticoMG",431,267,D
"Vitória","SãoCaetano",141,287,E
"Coritiba","Portuguesa",220,27,V
"Flamengo","Grêmio",321,265,D
"Gama","Santos",25,415,E
"Palmeiras","Paysandu",278,180,V
"AtléticoPR","SãoCaetano",345,287,D
