time1,time2,r1c,r1f,r2c,r2f,result
"Vasco","Figueirense",0.2,0,0,0,V
"SãoPaulo","Paysandu",0.2,0,0,0,V
"Paraná","SãoCaetano",0.2,0,0,0,V
"Santos","BotafogoRJ",0.2,0,0,0,V
"Goiás","Portuguesa",0.2,0,0,0,V
"Fluminense","Cruzeiro",0.2,0,0,0,V
"Palmeiras","Grêmio",0.0666667,0,0,0.0666667,E
"AtléticoMG","Corinthians",0,0,0,0.2,D
"Internacional","Flamengo",0,0,0,0.2,D
"Guarani","AtléticoPR",0.2,0,0,0,V
"Coritiba","Vitória",0.2,0,0,0,V
"Bahia","Gama",0.2,0,0,0,V
"Juventude","PontePreta",0.2,0,0,0,V
"AtléticoPR","Bahia",0.2,0,0.2,0,V
"BotafogoRJ","AtléticoMG",0.0666667,0,0,0.0666667,E
"Corinthians","Internacional",0.2,0.2,0,0,V
"Cruzeiro","Palmeiras",0.0666667,0,0.0666667,0.0666667,E
"Figueirense","Guarani",0.0666667,0,0.2,0.0666667,E
"Grêmio","Vasco",0.2,0.0666667,0.2,0,V
"PontePreta","Coritiba",0.2,0,0.2,0,V
"SãoCaetano","Fluminense",0.2,0,0.2,0,V
"Vitória","Goiás",0.2,0,0.2,0,V
"Flamengo","Juventude",0.0666667,0.2,0.2,0.0666667,E
"Gama","SãoPaulo",0,0,0.2,0.2,D
"Portuguesa","Paraná",0.2,0,0.2,0,V
"AtléticoPR","Vasco",0.4,0,0.2,0,V
"Fluminense","Grêmio",0.4,0,0.2,0.0666667,V
"Internacional","PontePreta",0.2,0,0.2,0,V
"Bahia","Coritiba",0.2,0,0.2,0.2,D
"Cruzeiro","BotafogoRJ",0.133333,0,0.0666667,0.0666667,E
"Flamengo","Goiás",0.133333,0.2,0.2,0.0666667,E
"Gama","Vitória",0.2,0,0.2,0,V
"Guarani","AtléticoMG",0.2,0.0666667,0,0.266667,D
"Juventude","Santos",0.4,0.0666667,0.2,0,V
"Paraná","SãoPaulo",0.2,0,0.2,0.4,D
"Portuguesa","Figueirense",0.266667,0,0.0666667,0.0666667,E
"SãoCaetano","Corinthians",0.4,0,0.2,0.2,V
"AtléticoMG","Fluminense",0.0666667,0.266667,0.4,0.0666667,E
"BotafogoRJ","Internacional",0.133333,0.0666667,0.2,0.0666667,E
"Coritiba","Flamengo",0.4,0.2,0.133333,0.2,V
"Goiás","Bahia",0.266667,0.0666667,0.2,0.0666667,E
"Paysandu","Portuguesa",0,0,0.266667,0.2,D
"Santos","Figueirense",0.4,0,0.0666667,0.0666667,V
"SãoPaulo","Juventude",0.2,0.4,0.4,0.266667,D
"Vitória","AtléticoPR",0.266667,0,0.4,0.0666667,E
"Grêmio","Guarani",0.2,0.0666667,0.2,0.266667,D
"Palmeiras","SãoCaetano",0.266667,0.0666667,0.4,0,V
"PontePreta","Cruzeiro",0.4,0,0.133333,0,V
"Vasco","Gama",0.2,0,0.2,0.2,D
"Figueirense","BotafogoRJ",0.0666667,0.0666667,0.133333,0.266667,D
"Flamengo","Paysandu",0.133333,0.2,0,0.2,D
"Internacional","SãoPaulo",0.266667,0.0666667,0.2,0.466667,E
"Coritiba","Corinthians",0.4,0.2,0.2,0.4,D
"Cruzeiro","Bahia",0.333333,0,0.2,0.0666667,V
"Fluminense","Santos",0.466667,0.0666667,0.4,0.0666667,E
"Goiás","Vasco",0.266667,0.0666667,0.2,0.2,D
"Palmeiras","AtléticoMG",0.266667,0.0666667,0.0666667,0.466667,D
"PontePreta","Grêmio",0.466667,0,0.2,0.133333,E
"Portuguesa","Gama",0.466667,0.2,0.2,0.2,V
"Vitória","Juventude",0.466667,0,0.4,0.266667,V
