@relation lista2-svm-2014-weka

@attribute x1 numeric
@attribute x2 numeric
@attribute y {-1,1}

@data
-2.462474,2.467589,1
-3.644322,4.185315,1
-2.338947,1.866378,1
-2.741835,2.577938,1
-2.659694,4.638019,1
-1.709223,3.196187,1
-4.467253,2.738452,1
-2.893513,3.128522,1
-3.172933,3.887135,1
-4.519176,2.462502,1
-4.202185,1.530601,1
-3.210955,4.676843,1
-3.192518,2.588014,1
-3.059676,2.829082,1
-2.233148,2.759947,1
-3.721651,2.968601,1
-3.737242,1.843995,1
-2.862429,3.488411,1
-2.623671,1.937892,1
-3.085655,1.716977,1
-3.82189,2.677541,1
-2.479602,2.59999,1
-3.149668,3.386606,1
-3.389442,2.27544,1
-2.606166,4.26133,1
-3.285149,4.297304,1
-2.415655,2.082346,1
-3.640805,2.632059,1
-3.256462,3.813424,1
-3.558907,1.539908,1
-2.477149,2.592911,1
-2.330886,2.799699,1
-1.993,2.997165,1
-1.101185,4.568817,1
-4.377811,3.493929,1
-3.401151,2.862228,1
-2.543376,2.783145,1
-3.003012,3.473291,1
-3.390856,2.576063,1
-3.315624,1.806024,1
-0.486069,3.323449,1
-2.393866,4.177509,1
-1.422796,3.688105,1
-3.207806,3.298356,1
-1.592925,3.15577,1
-3.248193,4.119211,1
-3.135876,4.010557,1
-1.94739,1.865225,1
-4.089454,3.058251,1
-3.827116,3.761236,1
2.63365,-3.473425,-1
3.83598,-2.517527,-1
3.030615,-2.20233,-1
3.384486,-2.352723,-1
4.139943,-2.171547,-1
3.577236,-4.259993,-1
2.743709,-2.841394,-1
2.934951,-4.254677,-1
4.777277,-1.500155,-1
2.101138,-3.756605,-1
2.804069,-1.560022,-1
3.745285,-3.331391,-1
3.423874,-3.219887,-1
2.78188,-3.324954,-1
3.184383,-0.802869,-1
2.007232,-2.498535,-1
1.252598,-4.387974,-1
4.923085,-3.111998,-1
4.816322,-3.770037,-1
5.393831,-2.831914,-1
2.964749,-3.408261,-1
4.751581,-2.311889,-1
2.424224,-3.755202,-1
5.198789,-1.922088,-1
3.655533,-2.649977,-1
4.176458,-3.570691,-1
0.889452,-4.157788,-1
3.447395,-1.430004,-1
4.939877,-3.706666,-1
2.932712,-2.951154,-1
2.017473,-2.813105,-1
3.835253,-2.578774,-1
3.381061,-3.722346,-1
1.990446,-2.452874,-1
2.619531,-2.729871,-1
2.201734,-2.08821,-1
3.156711,-4.324221,-1
3.950187,-4.271744,-1
2.963319,-3.283298,-1
4.711624,-3.012693,-1
2.845418,-4.428354,-1
3.176071,-3.748937,-1
3.145801,-3.153313,-1
2.431284,-3.655543,-1
3.423591,-2.246484,-1
2.780459,-2.827469,-1
1.808897,-4.68148,-1
2.281474,-5.027225,-1
1.064124,-1.758757,-1
3.350495,-1.302351,-1
4.0,0.0,1
