@relation segment-weka.filters.unsupervised.instance.RemovePercentage-P67.0

@attribute region-centroid-col numeric
@attribute region-centroid-row numeric
@attribute region-pixel-count numeric
@attribute short-line-density-5 numeric
@attribute short-line-density-2 numeric
@attribute vedge-mean numeric
@attribute vegde-sd numeric
@attribute hedge-mean numeric
@attribute hedge-sd numeric
@attribute intensity-mean numeric
@attribute rawred-mean numeric
@attribute rawblue-mean numeric
@attribute rawgreen-mean numeric
@attribute exred-mean numeric
@attribute exblue-mean numeric
@attribute exgreen-mean numeric
@attribute value-mean numeric
@attribute saturation-mean numeric
@attribute hue-mean numeric
@attribute class {brickface,sky,foliage,cement,window,path,grass}

@data
103,125,9,0,0,0.944445,0.827759,0.833333,0.691215,1.77778,0.444444,3.88889,1,-4,6.33333,-2.33333,3.88889,0.923809,-2.23756,foliage
188,182,9,0,0,1.61111,0.742868,4.16667,2.12655,58,51.8889,72.4444,49.6667,-18.3333,43.3333,-25,72.4444,0.314281,-1.99159,path
194,118,9,0,0,0.444445,0.118518,0.444445,0.162963,6.25926,7.55556,7.66667,3.55556,3.88889,4.22222,-8.11111,7.77778,0.543871,-1.0762,brickface
49,116,9,0,0,1.33333,0.311111,2.11111,1.31852,3,0.888889,6,2.11111,-6.33333,9,-2.66667,6,0.875529,-2.31301,foliage
7,48,9,0,0,0.611111,0.107407,1.33333,0.355557,115.778,107.444,132.444,107.444,-25,50,-25,132.444,0.197114,-2.09056,sky
99,156,9,0,0,2.05556,2.64074,2.5,5.18889,21,16.7778,29.2222,17,-12.6667,24.6667,-12,29.2222,0.431321,-2.10936,cement
78,69,9,0,0,1.5,1.14444,1.61111,1.44074,24.3333,22,32.5556,18.4444,-7,24.6667,-17.6667,32.5556,0.431547,-1.8112,brickface
79,48,9,0,0,1.05555,0.9963,0.999999,0.355556,107.889,94.7778,129.111,99.7778,-39.3333,63.6667,-24.3333,129.111,0.265899,-2.24704,sky
61,202,9,0,0,2.27778,1.87873,1.88889,1.0037,61.6296,55,76,53.8889,-19.8889,43.1111,-23.2222,76,0.293527,-2.04354,path
96,80,9,0.111111,0,1.55556,4.16296,2.5,1.9,26,24,34.4444,19.5556,-6,25.3333,-19.3333,34.4444,0.432471,-1.77359,brickface
56,140,9,0,0,0.944444,0.462963,0.277778,0.062963,5.55556,3.66667,9.44444,3.55556,-5.66667,11.6667,-6,9.44444,0.639254,-2.07227,window
40,57,9,0,0,1.16667,0.722651,1.38889,0.800464,123.556,112.222,139,119.444,-34,46.3333,-12.3333,139,0.192488,-2.37605,sky
205,83,9,0,0,24.5556,688.074,8.33333,121.244,23.2963,19.7778,28.5556,21.5556,-10.5556,15.7778,-5.22222,28.5556,0.504161,-2.32134,foliage
186,218,9,0,0,1.16667,0.744444,1.16667,0.655555,13.7037,10.6667,12.6667,17.7778,-9.11111,-3.11111,12.2222,17.7778,0.401347,2.38268,grass
77,186,9,0,0,2,2.66667,2.33333,3.55556,34.963,31.1111,43.4444,30.3333,-11.5556,25.4444,-13.8889,43.4444,0.303377,-2.03664,path
179,69,9,0,0,0.722222,0.490654,0.944444,0.742867,40.6667,40.8889,44.5556,36.5556,0.666667,11.6667,-12.3333,44.5556,0.17869,-1.51876,cement
101,197,9,0,0,3.55556,7.54074,4.94444,6.41852,21.2593,17.4444,18.7778,27.5556,-11.4444,-7.44444,18.8889,27.5556,0.394886,2.24309,grass
244,134,9,0.111111,0,2.11111,1.12875,1,0.730296,44.7037,37.1111,58.2222,38.7778,-22.7778,40.5556,-17.7778,58.2222,0.361284,-2.17535,cement
5,101,9,0,0,2.33333,2.31111,1.77778,0.607407,16.9259,18.3333,19.8889,12.5556,4.22222,8.88889,-13.1111,20.2222,0.376852,-1.21111,brickface
70,44,9,0,0.111111,2.44444,2.09408,2.33333,2.13958,122.593,112,136.889,118.889,-31.7778,42.8889,-11.1111,136.889,0.181821,-2.38466,sky
177,126,9,0,0,0.444444,0.118519,0.611111,0.418519,5.40741,7.66667,5.66667,2.88889,6.77778,0.777778,-7.55556,7.66667,0.623016,-0.612886,brickface
67,32,9,0,0,0.944444,1.06284,1.77778,1.31092,126.222,115.111,142.222,121.333,-33.3333,48,-14.6667,142.222,0.190625,-2.33375,sky
224,124,9,0,0,3.16667,9.54444,7.38889,70.1963,43.1481,39.2222,52.6667,37.5556,-11.7778,28.5556,-16.7778,52.6667,0.290982,-1.98098,cement
